Person,System,EntitlementName,PermissionConfigurationDisplayName,LastChangedOn
Noa Roozendaal (500000),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,01/17/2026 07:34:00
Noa Roozendaal (500000),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,12/13/2025 19:05:00
Noa Roozendaal (500000),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,12/23/2025 02:21:00
Noa Roozendaal (500000),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,10/21/2025 11:18:00
Noa Roozendaal (500000),Microsoft Active Directory,ROLE-Verpleegkundige (avo.local/Demo/Groups/ROLE-Verpleegkundige),,03/01/2026 07:31:00
Noa Roozendaal (500000),Microsoft Active Directory,APP-Visio (avo.local/Demo/Groups/APP-Visio),,05/31/2026 10:12:00
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,03/26/2026 21:27:00
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,09/06/2025 02:17:00
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,05/16/2025 10:14:00
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,12/26/2025 08:14:00
Olivier Ipenburg (500002),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,03/30/2025 05:13:00
Cato Roozendaal (500003),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,12/26/2025 08:43:00
Cato Roozendaal (500003),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,04/28/2026 01:50:00
Cato Roozendaal (500003),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,05/04/2025 07:22:00
Cato Roozendaal (500003),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,09/06/2025 01:07:00
Cato Roozendaal (500003),Microsoft Active Directory,APP-FIN01-Portal (avo.local/Demo/Groups/APP-FIN01-Portal),,01/16/2026 08:00:00
Cato Roozendaal (500003),Microsoft Active Directory,FS-FIN01-RW (avo.local/Demo/Groups/FS-FIN01-RW),,06/13/2025 11:53:00
Cato Roozendaal (500003),Microsoft Active Directory,TEAM-FIN01 (avo.local/Demo/Groups/TEAM-FIN01),,06/28/2025 14:24:00
Cato Roozendaal (500003),Microsoft Active Directory,ROLE-Verzorgende (avo.local/Demo/Groups/ROLE-Verzorgende),,03/21/2025 04:59:00
Cato Roozendaal (500003),Microsoft Active Directory,APP-Copilot (avo.local/Demo/Groups/APP-Copilot),,03/10/2026 22:23:00
Iris Zomerdijk (500004),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,03/29/2025 13:08:00
Iris Zomerdijk (500004),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,04/14/2026 13:08:00
Iris Zomerdijk (500004),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,02/14/2026 04:28:00
Iris Zomerdijk (500004),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,09/29/2025 16:36:00
Iris Zomerdijk (500004),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,03/25/2025 07:52:00
Iris Zomerdijk (500004),Microsoft Active Directory,ROLE-Begeleider (avo.local/Demo/Groups/ROLE-Begeleider),,02/04/2026 08:40:00
Iris Zomerdijk (500004),Microsoft Active Directory,APP-Visio (avo.local/Demo/Groups/APP-Visio),,06/01/2025 03:56:00
Iris Zomerdijk (500004),Microsoft Active Directory,FS-FIN01-RO (avo.local/Demo/Groups/FS-FIN01-RO),,08/05/2025 03:17:00
Iris Zomerdijk (500004),Microsoft Active Directory,MBX-FIN01 (avo.local/Demo/Groups/MBX-FIN01),,05/29/2026 20:16:00
Jasper Coenen (500005),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,06/14/2026 19:29:00
Jasper Coenen (500005),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,04/19/2026 16:01:00
Jasper Coenen (500005),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,07/25/2025 19:05:00
Jasper Coenen (500005),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,06/06/2026 16:27:00
Jasper Coenen (500005),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,05/04/2026 20:33:00
Jasper Coenen (500005),Microsoft Active Directory,APP-CA060-Portal (avo.local/Demo/Groups/APP-CA060-Portal),,03/05/2026 02:08:00
Jasper Coenen (500005),Microsoft Active Directory,FS-CA060-RO (avo.local/Demo/Groups/FS-CA060-RO),,12/02/2025 03:04:00
Jasper Coenen (500005),Microsoft Active Directory,FS-CA060-RW (avo.local/Demo/Groups/FS-CA060-RW),,12/07/2025 06:38:00
Jasper Coenen (500005),Microsoft Active Directory,MBX-CA060 (avo.local/Demo/Groups/MBX-CA060),,06/14/2025 19:05:00
Jasper Coenen (500005),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),,05/03/2025 11:21:00
Quinten Pronk (500006),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,06/22/2025 10:32:00
Quinten Pronk (500006),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),,01/29/2026 08:52:00
Quinten Pronk (500006),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,01/16/2026 07:10:00
Quinten Pronk (500006),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,05/18/2026 06:02:00
Quinten Pronk (500006),Microsoft Active Directory,APP-CA010-Portal (avo.local/Demo/Groups/APP-CA010-Portal),,08/05/2025 14:49:00
Quinten Pronk (500006),Microsoft Active Directory,FS-CA010-RO (avo.local/Demo/Groups/FS-CA010-RO),,05/25/2025 20:02:00
Quinten Pronk (500006),Microsoft Active Directory,TEAM-CA010 (avo.local/Demo/Groups/TEAM-CA010),,11/01/2025 18:03:00
