Person,System,EntitlementName,Operation,CreatedOn,FinishedOn,Origins,Result
Noa Roozendaal (500000),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,01/17/2026 07:34:00,01/17/2026 07:34:09,Import,Succeeded
Noa Roozendaal (500000),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,12/13/2025 19:05:00,12/13/2025 19:05:48,ContractUpdate,Succeeded
Noa Roozendaal (500000),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,12/23/2025 02:21:00,12/23/2025 02:21:12,BusinessRuleUpdate,Succeeded
Noa Roozendaal (500000),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,10/21/2025 11:18:00,10/21/2025 11:18:53,PersonUpdate,Succeeded
Noa Roozendaal (500000),Microsoft Active Directory,ROLE-Verpleegkundige (avo.local/Demo/Groups/ROLE-Verpleegkundige),Grant,03/01/2026 07:31:00,03/01/2026 07:31:32,BusinessRuleUpdate,Succeeded
Noa Roozendaal (500000),Microsoft Active Directory,APP-Visio (avo.local/Demo/Groups/APP-Visio),Grant,05/31/2026 10:12:00,05/31/2026 10:12:09,ContractUpdate,Succeeded
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,03/26/2026 21:27:00,03/26/2026 21:27:25,BusinessRuleUpdate,Succeeded
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Revoke,04/22/2026 21:27:00,04/22/2026 21:27:30,ContractUpdate,Succeeded
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,05/06/2026 21:27:00,05/06/2026 21:27:28,ContractUpdate,Succeeded
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,09/06/2025 02:17:00,09/06/2025 02:17:37,BusinessRuleUpdate,Succeeded
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,05/16/2025 10:14:00,05/16/2025 10:15:23,ContractUpdate,Succeeded
Yara Vroegindeweij (500001),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,12/26/2025 08:14:00,12/26/2025 08:14:03,Import,Succeeded
Olivier Ipenburg (500002),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,03/30/2025 05:13:00,03/30/2025 05:13:12,PersonUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,12/26/2025 08:43:00,12/26/2025 08:44:27,PersonUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,04/28/2026 01:50:00,04/28/2026 01:50:09,BusinessRuleUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,05/04/2025 07:22:00,05/04/2025 07:22:08,BusinessRuleUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,09/06/2025 01:07:00,09/06/2025 01:08:10,Import,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,APP-FIN01-Portal (avo.local/Demo/Groups/APP-FIN01-Portal),Grant,01/16/2026 08:00:00,01/16/2026 08:00:41,BusinessRuleUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,FS-FIN01-RW (avo.local/Demo/Groups/FS-FIN01-RW),Grant,06/13/2025 11:53:00,06/13/2025 11:54:11,ContractUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,TEAM-FIN01 (avo.local/Demo/Groups/TEAM-FIN01),Grant,06/28/2025 14:24:00,06/28/2025 14:24:23,PersonUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,ROLE-Verzorgende (avo.local/Demo/Groups/ROLE-Verzorgende),Grant,03/21/2025 04:59:00,03/21/2025 05:00:11,ContractUpdate,Succeeded
Cato Roozendaal (500003),Microsoft Active Directory,APP-Copilot (avo.local/Demo/Groups/APP-Copilot),Grant,03/10/2026 22:23:00,03/10/2026 22:23:30,BusinessRuleUpdate,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,03/29/2025 13:08:00,03/29/2025 13:08:55,Import,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,04/14/2026 13:08:00,04/14/2026 13:08:21,Import,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,02/14/2026 04:28:00,02/14/2026 04:28:35,ContractUpdate,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,09/29/2025 16:36:00,09/29/2025 16:36:27,ContractUpdate,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,03/25/2025 07:52:00,03/25/2025 07:52:41,BusinessRuleUpdate,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,ROLE-Begeleider (avo.local/Demo/Groups/ROLE-Begeleider),Grant,02/04/2026 08:40:00,02/04/2026 08:41:15,PersonUpdate,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,APP-Visio (avo.local/Demo/Groups/APP-Visio),Grant,06/01/2025 03:56:00,06/01/2025 03:56:53,BusinessRuleUpdate,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,FS-FIN01-RO (avo.local/Demo/Groups/FS-FIN01-RO),Grant,08/05/2025 03:17:00,08/05/2025 03:17:44,ContractUpdate,Succeeded
Iris Zomerdijk (500004),Microsoft Active Directory,MBX-FIN01 (avo.local/Demo/Groups/MBX-FIN01),Grant,05/29/2026 20:16:00,05/29/2026 20:16:30,PersonUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,06/14/2026 19:29:00,06/14/2026 19:29:24,PersonUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,04/19/2026 16:01:00,04/19/2026 16:01:26,Import,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Revoke,05/06/2026 16:01:00,05/06/2026 16:02:27,ContractUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,05/11/2026 16:01:00,05/11/2026 16:01:06,ContractUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,07/25/2025 19:05:00,07/25/2025 19:06:29,ContractUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,06/06/2026 16:27:00,06/06/2026 16:27:41,PersonUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,05/04/2026 20:33:00,05/04/2026 20:33:10,ContractUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,APP-CA060-Portal (avo.local/Demo/Groups/APP-CA060-Portal),Grant,03/05/2026 02:08:00,03/05/2026 02:08:50,ContractUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,FS-CA060-RO (avo.local/Demo/Groups/FS-CA060-RO),Grant,12/02/2025 03:04:00,12/02/2025 03:04:49,ContractUpdate,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,FS-CA060-RW (avo.local/Demo/Groups/FS-CA060-RW),Grant,12/07/2025 06:38:00,12/07/2025 06:38:06,Import,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,MBX-CA060 (avo.local/Demo/Groups/MBX-CA060),Grant,06/14/2025 19:05:00,06/14/2025 19:05:21,Import,Succeeded
Jasper Coenen (500005),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),Grant,05/03/2025 11:21:00,05/03/2025 11:21:07,ContractUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,06/22/2025 10:32:00,06/22/2025 10:32:45,PersonUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,01/29/2026 08:52:00,01/29/2026 08:52:56,ContractUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,01/16/2026 07:10:00,01/16/2026 07:10:17,Import,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,05/18/2026 06:02:00,05/18/2026 06:02:27,Import,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,APP-CA010-Portal (avo.local/Demo/Groups/APP-CA010-Portal),Grant,08/05/2025 14:49:00,08/05/2025 14:50:27,ContractUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,FS-CA010-RO (avo.local/Demo/Groups/FS-CA010-RO),Grant,05/25/2025 20:02:00,05/25/2025 20:02:37,ContractUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,TEAM-CA010 (avo.local/Demo/Groups/TEAM-CA010),Grant,11/01/2025 18:03:00,11/01/2025 18:03:24,BusinessRuleUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,MBX-CA010 (avo.local/Demo/Groups/MBX-CA010),Grant,04/29/2026 04:20:00,04/29/2026 04:20:43,BusinessRuleUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,APP-Selfservice (avo.local/Demo/Groups/APP-Selfservice),Grant,12/08/2025 02:24:00,12/08/2025 02:24:29,ContractUpdate,Succeeded
Quinten Pronk (500006),Microsoft Active Directory,APP-Adobe-AcrobatPro (avo.local/Demo/Groups/APP-Adobe-AcrobatPro),Grant,05/30/2025 08:49:00,05/30/2025 08:49:28,ContractUpdate,Succeeded
Kim Terlouw (500007),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,07/10/2025 02:54:00,07/10/2025 02:54:35,Import,Succeeded
Kim Terlouw (500007),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,10/06/2025 17:37:00,10/06/2025 17:38:27,PersonUpdate,Succeeded
Kim Terlouw (500007),Microsoft Active Directory,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),Grant,03/21/2025 04:01:00,03/21/2025 04:01:40,PersonUpdate,Succeeded
Kim Terlouw (500007),Microsoft Active Directory,APP-Office365 (avo.local/Demo/Groups/APP-Office365),Grant,02/08/2026 08:52:00,02/08/2026 08:52:39,Import,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),Grant,01/15/2026 21:23:00,01/15/2026 21:24:23,PersonUpdate,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),Grant,03/25/2025 07:50:00,03/25/2025 07:50:15,BusinessRuleUpdate,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,10/01/2025 07:46:00,10/01/2025 07:46:23,PersonUpdate,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Revoke,10/21/2025 07:46:00,10/21/2025 07:47:12,ContractUpdate,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,SEC-MFA-Enrolled (avo.local/Demo/Groups/SEC-MFA-Enrolled),Grant,11/07/2025 07:46:00,11/07/2025 07:47:30,ContractUpdate,Succeeded
Hanna Slootweg (500008),Microsoft Active Directory,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),Grant,08/07/2025 00:21:00,08/07/2025 00:21:24,PersonUpdate,Succeeded
