AssignmentGuid,UserName,UserGuid,ProductName,ProductGuid,ProductSku,RequestedAt,ApprovedAt,ReturnDate,Source,ApprovedBy,ApprovalComment,Approved
a00001-demo,tess.muijs@avondrood.local,u00001,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-07-18T11:00:00.000,2026-07-18T15:00:00.000,,Request,Zoë Willems,Conform aanvraag,True
a00002-demo,isa.oosterhuis@avondrood.local,u00002,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-04-13T20:00:00.000,2025-04-15T05:00:00.000,,Request,Tijn Vroegindeweij,Akkoord,True
a00003-demo,mila.dekker2@avondrood.local,u00003,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-07-29T19:00:00.000,2023-07-31T23:00:00.000,2023-12-29T23:00:00,Request,Floris Willems,Ok,True
a00004-demo,finn.uijlenbroek@avondrood.local,u00004,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2024-12-05T09:00:00.000,2024-12-08T09:00:00.000,,Request,Puck Kalisvaart,"Akkoord, tijdelijk",True
a00005-demo,olivier.hendriks@avondrood.local,u00005,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-01-02T18:00:00.000,2026-01-02T22:00:00.000,,Request,,,
a00006-demo,guusje.vandijk@avondrood.local,u00006,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-05-23T13:00:00.000,2025-05-23T20:00:00.000,,Request,Rens de Graaf,Akkoord – zie ticket,True
a00007-demo,joris.ipenburg@avondrood.local,u00007,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-02-22T01:00:00.000,2023-02-23T10:00:00.000,,Import,Bram Elzinga,Akkoord,True
a00008-demo,ursula.janssen@avondrood.local,u00008,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2025-09-12T15:00:00.000,2025-09-15T07:00:00.000,,Import,Ursula Nagtegaal,Conform aanvraag,True
a00009-demo,maarten.zomerdijk@avondrood.local,u00009,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2026-04-07T10:00:00.000,2026-04-08T05:00:00.000,,Request,Fenna de Boer,Akkoord – zie ticket,True
a00010-demo,pien.slootweg@avondrood.local,u00010,PowerBI Pro,p0000-demo-0000-0000-000000000000,20240000DEMO,2023-04-30T02:00:00.000,2023-04-30T14:00:00.000,,Request,,,
