System,Person,AccountDisplayName,AccountUserName,AccountEnabled,PermissionDisplayName,PermissionConfigurationDisplayName,SubPermissionDisplayName,Issue,Resolution
Microsoft Active Directory,Ursula Wielenga (500143),Ursula Wielenga,ursula.wielenga46,True,MBX-FIN01 (avo.local/Demo/Groups/MBX-FIN01),,,Permission unmanaged,None
Microsoft Active Directory,Eva Dijkgraaf (500129),Eva Dijkgraaf,eva.dijkgraaf32,True,LIC-M365-E5 (avo.local/Demo/Groups/LIC-M365-E5),,,Permission unmanaged,None
Microsoft Active Directory,Tess Oosterhuis (500218),Tess Oosterhuis,tess.oosterhuis24,True,APP-Adobe-AcrobatPro (avo.local/Demo/Groups/APP-Adobe-AcrobatPro),,,Permission unmanaged,None
Microsoft Active Directory,Vera Dijkgraaf (500099),Vera Dijkgraaf,vera.dijkgraaf2,True,TEAM-FAC04 (avo.local/Demo/Groups/TEAM-FAC04),,,Permission unmanaged,None
Microsoft Active Directory,Zoë Terlouw (500309),Zoë Terlouw,zoe.terlouw18,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Vera Coenen (500289),Vera Coenen,vera.coenen95,True,APP-CA060-Portal (avo.local/Demo/Groups/APP-CA060-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Cato Hoekstra (500139),Cato Hoekstra,cato.hoekstra42,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Quinten Jonker (500131),Quinten Jonker,quinten.jonker34,True,APP-Copilot (avo.local/Demo/Groups/APP-Copilot),,,Permission unmanaged,None
Microsoft Active Directory,Yara Hoekstra (500150),Yara Hoekstra,yara.hoekstra53,True,MBX-ICT03 (avo.local/Demo/Groups/MBX-ICT03),,,Permission unmanaged,None
Microsoft Active Directory,Cato Roozendaal (500250),Cato Roozendaal,cato.roozendaal56,True,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,,Permission unmanaged,None
Microsoft Active Directory,Mila Quaedvlieg (500211),Mila Quaedvlieg,mila.quaedvlieg17,True,PRINT-Deventer (avo.local/Demo/Groups/PRINT-Deventer),,,Permission unmanaged,None
Microsoft Active Directory,Zoë Zomerdijk (500037),Zoë Zomerdijk,zoe.zomerdijk37,True,APP-Intranet (avo.local/Demo/Groups/APP-Intranet),,,Permission unmanaged,None
Microsoft Active Directory,Cato Uijlenbroek (500100),Cato Uijlenbroek,cato.uijlenbroek3,True,ROLE-Verzorgende (avo.local/Demo/Groups/ROLE-Verzorgende),,,Permission unmanaged,None
Microsoft Active Directory,Xander Uijlenbroek (500138),Xander Uijlenbroek,xander.uijlenbroek41,True,APP-Visio (avo.local/Demo/Groups/APP-Visio),,,Permission unmanaged,None
Microsoft Active Directory,Tess Fokkema (500253),Tess Fokkema,tess.fokkema59,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Xander Oosterhuis (500114),Xander Oosterhuis,xander.oosterhuis17,True,SEC-Endpoint-Protection (avo.local/Demo/Groups/SEC-Endpoint-Protection),,,Permission unmanaged,None
Microsoft Active Directory,Bram Pronk (500002),Bram Pronk,bram.pronk2,True,FS-FIN01-RO (avo.local/Demo/Groups/FS-FIN01-RO),,,Permission unmanaged,None
Microsoft Active Directory,Lars Roozendaal (500049),Lars Roozendaal,lars.roozendaal49,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Zoë Vroegindeweij (500293),Zoë Vroegindeweij,zoe.vroegindeweij2,True,LIC-M365-E3 (avo.local/Demo/Groups/LIC-M365-E3),,,Permission unmanaged,None
Microsoft Active Directory,,Hanna Oosterhuis (admin),adm-hanna.oosterhuis14,True,,,,Account unmanaged,None
Microsoft Active Directory,Iris Nagtegaal (500028),Iris Nagtegaal,iris.nagtegaal28,True,SEC-Antivirus (avo.local/Demo/Groups/SEC-Antivirus),,,Permission unmanaged,None
Microsoft Active Directory,Gijs Coenen (500074),Gijs Coenen,gijs.coenen74,True,APP-CZ08-Portal (avo.local/Demo/Groups/APP-CZ08-Portal),,,Permission unmanaged,None
Microsoft Active Directory,Wout Pronk (500008),Wout Pronk,wout.pronk8,True,SEC-DiskEncryption (avo.local/Demo/Groups/SEC-DiskEncryption),,,Permission unmanaged,None
Microsoft Active Directory,Xander Aalbers (500209),Xander Aalbers,xander.aalbers15,True,FS-Kwaliteitsadviseur-DATA (avo.local/Demo/Groups/FS-Kwaliteitsadviseur-DATA),,,Permission unmanaged,None
Microsoft Active Directory,Yara Vroegindeweij (500206),Yara Vroegindeweij,yara.vroegindeweij12,True,MBX-CZ08 (avo.local/Demo/Groups/MBX-CZ08),,,Permission unmanaged,None
Microsoft Active Directory,Zoë Nagtegaal (500059),Zoë Nagtegaal,zoe.nagtegaal59,True,APP-Office365 (avo.local/Demo/Groups/APP-Office365),,,Permission unmanaged,None
Microsoft Active Directory,Finn Jonker (500146),Finn Jonker,finn.jonker49,True,APP-Visio (avo.local/Demo/Groups/APP-Visio),,,Permission unmanaged,None
